ERR793600.742976	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0006 peptidase M24;
ERR793600.411937	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0474 P-type atpase;
ERR793600.709815	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0474 P-type atpase;
ERR793600.159124	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0477 major facilitator Superfamily;
ERR793600.159574	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0477 major facilitator Superfamily;
ERR793600.871978	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0477 major facilitator Superfamily;
ERR793600.871978	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0477 major facilitator Superfamily;
ERR793600.229708	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0480 Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity);
ERR793600.230317	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0480 Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity);
ERR793600.531504	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0480 Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity);
ERR793600.229708	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0480 Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity);
ERR793600.531504	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0480 Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity);
ERR793600.1152965	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0483 inositol monophosphatase;
ERR793600.183470	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0484 ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity);
ERR793600.865902	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0484 ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity);
ERR793600.235809	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0484 ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity);
ERR793600.236579	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0484 ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity);
ERR793600.865902	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0484 ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity);
ERR793600.1419151	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0492 thioredoxin reductase;
ERR793600.1419151	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0492 thioredoxin reductase;
ERR793600.1419161	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0492 thioredoxin reductase;
ERR793600.886438	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0495 Leucyl-trna synthetase;
ERR793600.886438	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0495 Leucyl-trna synthetase;
ERR793600.1151870	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0500 Methyltransferase;
ERR793600.1172521	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0504 Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen (By similarity);
ERR793600.724729	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0507 exodeoxyribonuclease v alpha;
ERR793600.799037	eggNOG;metabolism;[C] Energy production and conversion;COG0508 Dehydrogenase;
ERR793600.1267646	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0512 anthranilate synthase;
ERR793600.1267646	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0512 anthranilate synthase;
ERR793600.100328	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793600.284937	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793600.467007	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793600.625584	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793600.723838	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793600.724462	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793600.1179817	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793600.1514584	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793600.467007	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793600.625584	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793600.723838	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793600.1092657	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793600.1514584	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793600.512203	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0520 cysteine desulfurase;
ERR793600.512203	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0520 cysteine desulfurase;
ERR793600.866066	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0522 One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity);
ERR793600.503924	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0531 amino acid;
ERR793600.503924	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0531 amino acid;
ERR793600.1273129	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0539 thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence (By similarity);
ERR793600.862737	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0542 ATP-dependent CLP protease ATP-binding subunit;
ERR793600.1160110	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0542 ATP-dependent CLP protease ATP-binding subunit;
ERR793600.862737	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0542 ATP-dependent CLP protease ATP-binding subunit;
ERR793600.805981	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0544 Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation;
ERR793600.805981	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0544 Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation;
ERR793600.83500	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0559 (ABC) transporter;
ERR793600.83500	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0559 (ABC) transporter;
ERR793600.291684	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0563 Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism (By similarity);
ERR793600.1206651	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0565 RNA methyltransferase TrmH family, group 1;
ERR793600.769032	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0568 Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity);
ERR793600.639262	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0582 Integrase;
ERR793600.1038363	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0583 Transcriptional regulator;
ERR793600.787618	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0589 Universal stress protein;
ERR793600.1193473	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0600 Binding-protein-dependent transport systems inner membrane component;
ERR793600.1193592	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0600 Binding-protein-dependent transport systems inner membrane component;
ERR793600.864182	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0601 Binding-protein-dependent transport systems inner membrane component;
ERR793600.905519	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0601 Binding-protein-dependent transport systems inner membrane component;
ERR793600.1341802	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0601 Binding-protein-dependent transport systems inner membrane component;
ERR793600.864182	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0601 Binding-protein-dependent transport systems inner membrane component;
ERR793600.905519	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0601 Binding-protein-dependent transport systems inner membrane component;
ERR793600.905720	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0601 Binding-protein-dependent transport systems inner membrane component;
ERR793600.525830	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0609 permease protein;
ERR793600.276185	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0612 peptidase';
ERR793600.276185	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0612 peptidase';
ERR793600.1562225	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0617 Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate;
ERR793600.1562225	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0617 Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate;
ERR793600.161404	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0620 Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation (By similarity);
ERR793600.489045	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0624 succinyl-diaminopimelate desuccinylase activity;
ERR793600.565339	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0624 succinyl-diaminopimelate desuccinylase activity;
ERR793600.1334454	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0629 single-stranded DNA-binding protein;
ERR793600.1097647	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0631 Phosphatase;
ERR793600.25867	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0642 Histidine kinase;
ERR793600.25867	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0642 Histidine kinase;
ERR793600.1325241	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0642 Histidine kinase;
ERR793600.171476	eggNOG;metabolism;[C] Energy production and conversion;COG0649 NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity);
ERR793600.1559341	eggNOG;metabolism;[C] Energy production and conversion;COG0654 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen;
ERR793600.1559341	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0654 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen;
ERR793600.1316605	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0659 sulfate transporter;
ERR793600.1325162	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0665 Catalyzes the last two steps in the biosynthesis of 5- methylaminomethyl-2-thiouridine (mnm(5)s(2)U) at the wobble position (U34) in tRNA. Catalyzes the FAD-dependent demodification of cmnm(5)s(2)U34 to nm(5)s(2)U34, followed by the transfer of a methyl group from S-adenosyl-L-methionine to nm(5)s(2)U34, to form mnm(5)s(2)U34 (By similarity);
ERR793600.1442977	eggNOG;metabolism;[C] Energy production and conversion;COG0667 Aldo keto reductase;
ERR793600.1442977	eggNOG;metabolism;[C] Energy production and conversion;COG0667 Aldo keto reductase;
ERR793600.859299	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0668 Mechanosensitive ion channel;
ERR793600.62249	eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG0681 Signal peptidase i;
ERR793600.1169884	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0683 (ABC) transporter;
ERR793600.1170531	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0683 (ABC) transporter;
ERR793600.1169884	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0683 (ABC) transporter;
ERR793600.1313685	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0683 (ABC) transporter;
ERR793600.190817	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0685 Methylenetetrahydrofolate reductase;
ERR793600.1057676	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0691 Binds specifically to the SsrA RNA (tmRNA) and is required for stable association of SsrA with ribosomes (By similarity);
ERR793600.1228045	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0692 Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine (By similarity);
ERR793600.215544	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0696 Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity);
ERR793600.539747	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0697 membrane;
ERR793600.539747	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0697 membrane;
ERR793600.539747	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0697 membrane;
ERR793600.539747	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0697 membrane;
ERR793600.710387	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0697 membrane;
ERR793600.710387	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0697 membrane;
ERR793600.291745	eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG0706 Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins;
ERR793600.1251117	eggNOG;metabolism;[C] Energy production and conversion;COG0712 F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity);
ERR793600.1251117	eggNOG;metabolism;[C] Energy production and conversion;COG0712 F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity);
ERR793600.642268	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0715 (ABC) transporter;
ERR793600.674393	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0715 (ABC) transporter;
ERR793600.642268	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0715 (ABC) transporter;
ERR793600.674393	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0715 (ABC) transporter;
ERR793600.802319	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0722 Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP) (By similarity);
ERR793600.802319	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0722 Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP) (By similarity);
ERR793600.1570713	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG0732 Restriction modification system DNA (Specificity;
ERR793600.417137	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0738 Transporter;
ERR793600.165990	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0740 Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity);
ERR793600.165990	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0740 Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity);
ERR793600.934424	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0741 transglycosylase;
ERR793600.934424	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0741 transglycosylase;
ERR793600.1325241	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0745 regulatoR;
ERR793600.1237906	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0749 DNA polymerase;
ERR793600.1238243	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0749 DNA polymerase;
ERR793600.1237906	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0749 DNA polymerase;
ERR793600.443098	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0761 Converts 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) (By similarity);
ERR793600.706674	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0761 Converts 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) (By similarity);
ERR793600.706674	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0761 Converts 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) (By similarity);
ERR793600.709098	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0766 Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity);
ERR793600.709728	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0766 Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity);
ERR793600.709098	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0766 Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity);
ERR793600.740881	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0768 penicillin-binding protein;
ERR793600.1160074	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0768 penicillin-binding protein;
ERR793600.740881	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0768 penicillin-binding protein;
ERR793600.167443	eggNOG;cellularProcessesAndSignaling;[D] Cell cycle control, cell division, chromosome partitioning;COG0772 Cell Division Protein;
ERR793600.1557974	eggNOG;cellularProcessesAndSignaling;[D] Cell cycle control, cell division, chromosome partitioning;COG0772 Cell Division Protein;
ERR793600.1057676	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0777 Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA (By similarity);
ERR793600.742690	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0782 Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides (By similarity);
ERR793600.1139205	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0787 Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids (By similarity);
ERR793600.968216	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0794 Arabinose 5-phosphate isomerase;
ERR793600.211125	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0810 TonB family;
ERR793600.211125	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0810 TonB family;
ERR793600.693040	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0820 rRNA (adenine-C2-)-methyltransferase activity;
ERR793600.693040	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0820 rRNA (adenine-C2-)-methyltransferase activity;
ERR793600.693352	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0820 rRNA (adenine-C2-)-methyltransferase activity;
ERR793600.1011139	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0835 chew protein;
ERR793600.1011139	eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG0835 chew protein;
ERR793600.618588	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0836 mannose-1-phosphate guanylyltransferase activity;
ERR793600.618588	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0836 mannose-1-phosphate guanylyltransferase activity;
ERR793600.97089	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0841 acriflavin resistance protein;
ERR793600.97089	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0841 acriflavin resistance protein;
ERR793600.1021665	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0841 acriflavin resistance protein;
ERR793600.579698	eggNOG;cellularProcessesAndSignaling;[D] Cell cycle control, cell division, chromosome partitioning;COG0851 Prevents the cell division inhibition by proteins MinC and MinD at internal division sites while permitting inhibition at polar sites. This ensures cell division at the proper site by restricting the formation of a division septum at the midpoint of the long axis of the cell (By similarity);
ERR793600.1587963	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0860 n-acetylmuramoyl-l-alanine amidase;
ERR793600.1471030	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG1002 Type II restriction enzyme, methylase;
ERR793600.1471030	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG1002 Type II restriction enzyme, methylase;
ERR793600.174389	eggNOG;metabolism;[C] Energy production and conversion;COG1007 NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity);
ERR793600.665295	eggNOG;metabolism;[C] Energy production and conversion;COG1007 NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity);
ERR793600.668246	eggNOG;metabolism;[C] Energy production and conversion;COG1007 NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity);
ERR793600.174389	eggNOG;metabolism;[C] Energy production and conversion;COG1007 NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity);
