ERR793599.177418	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0006 peptidase M24;
ERR793599.51705	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0326 Molecular chaperone. Has ATPase activity (By similarity);
ERR793599.317800	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0326 Molecular chaperone. Has ATPase activity (By similarity);
ERR793599.51705	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0326 Molecular chaperone. Has ATPase activity (By similarity);
ERR793599.317800	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0326 Molecular chaperone. Has ATPase activity (By similarity);
ERR793599.693144	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0329 Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA) (By similarity);
ERR793599.309830	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0330 Band 7 protein;
ERR793599.693352	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0330 Band 7 protein;
ERR793599.309830	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0330 Band 7 protein;
ERR793599.229682	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0332 Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids (By similarity);
ERR793599.540848	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0336 Specifically methylates guanosine-37 in various tRNAs (By similarity);
ERR793599.53486	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0339 oligopeptidase a;
ERR793599.346391	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0339 oligopeptidase a;
ERR793599.346391	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0339 oligopeptidase a;
ERR793599.696581	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0340 Biotin- acetyl-CoA-carboxylase ligase;
ERR793599.752794	eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG0342 Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity);
ERR793599.752794	eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG0342 Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity);
ERR793599.133966	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0346 glyoxalase bleomycin resistance protein dioxygenase;
ERR793599.133966	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0346 glyoxalase bleomycin resistance protein dioxygenase;
ERR793599.651296	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0347 Nitrogen regulatory protein pii;
ERR793599.47184	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0349 Exonuclease involved in the 3' processing of various precursor tRNAs. Initiates hydrolysis at the 3'-terminus of an RNA molecule and releases 5'-mononucleotides (By similarity);
ERR793599.680987	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0349 Exonuclease involved in the 3' processing of various precursor tRNAs. Initiates hydrolysis at the 3'-terminus of an RNA molecule and releases 5'-mononucleotides (By similarity);
ERR793599.104673	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0350 Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) in DNA. Repairs alkylated guanine in DNA by stoichiometrically transferring the alkyl group at the O-6 position to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated (By similarity);
ERR793599.255975	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0353 May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO (By similarity);
ERR793599.434732	eggNOG;metabolism;[C] Energy production and conversion;COG0355 Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity);
ERR793599.673955	eggNOG;metabolism;[C] Energy production and conversion;COG0372 citrate synthase;
ERR793599.440961	eggNOG;metabolism;[C] Energy production and conversion;COG0377 NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity);
ERR793599.440961	eggNOG;metabolism;[C] Energy production and conversion;COG0377 NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity);
ERR793599.728787	eggNOG;metabolism;[C] Energy production and conversion;COG0377 NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity);
ERR793599.694019	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0380 synthase;
ERR793599.542339	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0395 Binding-protein-dependent transport systems inner membrane component;
ERR793599.173613	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0399 DegT DnrJ EryC1 StrS aminotransferase;
ERR793599.572440	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0399 DegT DnrJ EryC1 StrS aminotransferase;
ERR793599.38591	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0402 deaminase;
ERR793599.38591	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0402 deaminase;
ERR793599.538351	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG0412 dienelactone hydrolase;
ERR793599.65030	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0421 Catalyzes the production of spermidine from putrescine and decarboxylated S-adenosylmethionine (dcSAM), which serves as an aminopropyl donor (By similarity);
ERR793599.346323	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0422 thiamine diphosphate biosynthetic process;
ERR793599.346323	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0422 thiamine diphosphate biosynthetic process;
ERR793599.189282	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0436 aminotransferase;
ERR793599.87817	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0438 Glycosyl transferase (Group 1;
ERR793599.586340	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0439 acetyl-CoA carboxylase biotin carboxylase;
ERR793599.586458	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0439 acetyl-CoA carboxylase biotin carboxylase;
ERR793599.586340	eggNOG;metabolism;[I] Lipid transport and metabolism;COG0439 acetyl-CoA carboxylase biotin carboxylase;
ERR793599.417256	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0443 Heat shock protein;
ERR793599.606737	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0443 Heat shock protein;
ERR793599.417256	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0443 Heat shock protein;
ERR793599.239897	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0449 Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source (By similarity);
ERR793599.365790	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0449 Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source (By similarity);
ERR793599.446892	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0450 alkyl hydroperoxide reductase;
ERR793599.446892	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0450 alkyl hydroperoxide reductase;
ERR793599.637266	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0454 acetyltransferase;
ERR793599.725283	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0458 carbamoyl-phosphate synthetase ammonia chain;
ERR793599.30572	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0459 Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity);
ERR793599.488114	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0459 Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity);
ERR793599.30572	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0459 Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity);
ERR793599.488114	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0459 Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity);
ERR793599.419969	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0463 Glycosyl transferase, family 2;
ERR793599.419969	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0463 Glycosyl transferase, family 2;
ERR793599.91082	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0467 Circadian clock protein KaiC;
ERR793599.642061	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0470 DNA polymerase III subunit delta';
ERR793599.615222	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0474 P-type atpase;
ERR793599.608933	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0476 small protein activating enzyme activity;
ERR793599.21781	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0480 Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity);
ERR793599.21781	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0480 Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity);
ERR793599.526819	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0482 Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34 (By similarity);
ERR793599.526819	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0482 Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34 (By similarity);
ERR793599.264842	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0483 inositol monophosphatase;
ERR793599.307701	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0484 ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity);
ERR793599.20557	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0484 ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity);
ERR793599.307701	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0484 ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity);
ERR793599.307469	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0494 Nudix hydrolase;
ERR793599.667731	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0494 Nudix hydrolase;
ERR793599.51650	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0498 threonine synthase;
ERR793599.645474	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0498 threonine synthase;
ERR793599.645474	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0498 threonine synthase;
ERR793599.102765	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0501 Protease HtpX homolog;
ERR793599.326215	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0501 Protease HtpX homolog;
ERR793599.306278	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0506 Proline dehydrogenase;
ERR793599.446089	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0507 exodeoxyribonuclease v alpha;
ERR793599.487594	eggNOG;metabolism;[C] Energy production and conversion;COG0508 Dehydrogenase;
ERR793599.517919	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0513 purine NTP-dependent helicase activity;
ERR793599.599341	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0513 purine NTP-dependent helicase activity;
ERR793599.690399	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0513 purine NTP-dependent helicase activity;
ERR793599.517919	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0513 purine NTP-dependent helicase activity;
ERR793599.264862	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0514 atp-dependent dna helicase;
ERR793599.25666	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793599.219173	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793599.219526	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793599.589962	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793599.618352	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793599.691443	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793599.371519	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;
ERR793599.558704	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0519 Catalyzes the synthesis of GMP from XMP (By similarity);
ERR793599.558704	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG0519 Catalyzes the synthesis of GMP from XMP (By similarity);
ERR793599.626400	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0520 cysteine desulfurase;
ERR793599.136807	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0524 pfkb domain protein;
ERR793599.52355	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0525 amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity);
ERR793599.52362	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0525 amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity);
ERR793599.52355	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0525 amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity);
ERR793599.160783	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG0534 Mate efflux family protein;
ERR793599.425589	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG0534 Mate efflux family protein;
ERR793599.160783	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG0534 Mate efflux family protein;
ERR793599.425589	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG0534 Mate efflux family protein;
ERR793599.753908	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0548 nag kinase;
ERR793599.92645	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0553 helicase;
ERR793599.649477	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0553 helicase;
ERR793599.732497	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0553 helicase;
ERR793599.92645	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0553 helicase;
ERR793599.346662	eggNOG;metabolism;[C] Energy production and conversion;COG0554 Key enzyme in the regulation of glycerol uptake and metabolism (By similarity);
ERR793599.362318	eggNOG;metabolism;[C] Energy production and conversion;COG0554 Key enzyme in the regulation of glycerol uptake and metabolism (By similarity);
ERR793599.362772	eggNOG;metabolism;[C] Energy production and conversion;COG0554 Key enzyme in the regulation of glycerol uptake and metabolism (By similarity);
ERR793599.362318	eggNOG;metabolism;[C] Energy production and conversion;COG0554 Key enzyme in the regulation of glycerol uptake and metabolism (By similarity);
ERR793599.642136	eggNOG;metabolism;[C] Energy production and conversion;COG0554 Key enzyme in the regulation of glycerol uptake and metabolism (By similarity);
ERR793599.155326	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0559 (ABC) transporter;
ERR793599.155326	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0559 (ABC) transporter;
ERR793599.339317	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0560 phosphoserine phosphatase activity;
ERR793599.607745	eggNOG;metabolism;[C] Energy production and conversion;COG0567 2-oxoglutarate dehydrogenase, E1;
ERR793599.607745	eggNOG;metabolism;[C] Energy production and conversion;COG0567 2-oxoglutarate dehydrogenase, E1;
ERR793599.351005	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0568 Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity);
ERR793599.563330	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG0574 phosphotransferase activity, paired acceptors;
ERR793599.59515	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0576 Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ;
ERR793599.59515	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0576 Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ;
ERR793599.469094	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0583 Transcriptional regulator;
ERR793599.469191	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0583 Transcriptional regulator;
ERR793599.744960	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0583 Transcriptional regulator;
ERR793599.469094	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0583 Transcriptional regulator;
ERR793599.469191	eggNOG;informationStorageAndProcessing;[K] Transcription;COG0583 Transcriptional regulator;
ERR793599.84538	eggNOG;metabolism;[C] Energy production and conversion;COG0584 glycerophosphoryl diester phosphodiesterase;
ERR793599.740566	eggNOG;metabolism;[C] Energy production and conversion;COG0584 glycerophosphoryl diester phosphodiesterase;
ERR793599.740566	eggNOG;metabolism;[C] Energy production and conversion;COG0584 glycerophosphoryl diester phosphodiesterase;
ERR793599.209510	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0587 DNA polymerase III (alpha subunit);
ERR793599.538958	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0587 DNA polymerase III (alpha subunit);
ERR793599.209510	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0587 DNA polymerase III (alpha subunit);
ERR793599.538958	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0587 DNA polymerase III (alpha subunit);
ERR793599.45520	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0591 symporter;
ERR793599.332470	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0592 DNA polymerase processivity factor activity;
ERR793599.13319	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG0593 it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity);
ERR793599.343717	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0598 magnesium and cobalt transport protein CorA;
ERR793599.613059	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0601 Binding-protein-dependent transport systems inner membrane component;
ERR793599.405204	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0606 Mg chelatase subunit ChlI;
ERR793599.267643	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0607 Rhodanese domain protein;
ERR793599.307394	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG0610 Type I site-specific deoxyribonuclease;
ERR793599.742976	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0612 peptidase';
ERR793599.644808	eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG0616 Signal peptide peptidase, SppA;
ERR793599.644808	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0616 Signal peptide peptidase, SppA;
ERR793599.71437	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0617 Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate;
ERR793599.71437	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG0617 Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate;
ERR793599.411968	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0620 Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation (By similarity);
ERR793599.643776	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0624 succinyl-diaminopimelate desuccinylase activity;
ERR793599.411049	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0624 succinyl-diaminopimelate desuccinylase activity;
ERR793599.91464	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0625 glutathione Stransferase;
ERR793599.149763	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0625 glutathione Stransferase;
ERR793599.401206	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0625 glutathione Stransferase;
ERR793599.507446	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0626 cystathionine;
ERR793599.444328	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0626 cystathionine;
ERR793599.489131	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0626 cystathionine;
ERR793599.507446	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0626 cystathionine;
ERR793599.253847	eggNOG;metabolism;[C] Energy production and conversion;COG0636 F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity);
ERR793599.667819	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0638 The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity);
ERR793599.215750	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0642 Histidine kinase;
ERR793599.258888	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0642 Histidine kinase;
ERR793599.215750	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0642 Histidine kinase;
ERR793599.635154	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0643 CheA signal transduction histidine kinase;
ERR793599.735690	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0643 CheA signal transduction histidine kinase;
ERR793599.635154	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0643 CheA signal transduction histidine kinase;
ERR793599.404031	eggNOG;metabolism;[C] Energy production and conversion;COG0644 geranylgeranyl reductase;
ERR793599.312481	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0652 peptidyl-prolyl cis-trans isomerase activity;
ERR793599.103084	eggNOG;metabolism;[C] Energy production and conversion;COG0654 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen;
ERR793599.103084	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0654 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen;
ERR793599.103084	eggNOG;metabolism;[C] Energy production and conversion;COG0654 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen;
ERR793599.103084	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0654 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen;
ERR793599.489131	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG0668 Mechanosensitive ion channel;
ERR793599.733617	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG0669 Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate (By similarity);
ERR793599.17354	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG0672 )-iron permease;
